4-hydroxyphenylpyruvic acid	4-hydroxyphenylpyruvic acid 15999	4-hydroxyphenylpyruvic acid 15999	p-Hydroxyphenylpyruvic acid 15999
5-Dodecenoate	5-dodecenoate 83046	dodecenoate 83045	dodecenoates 83045
AMP	AMP 456215	AMP 28971	AMP 16027
Butyrate	butyrate 17968	butyrate 17968	n-butyrate 17968
C-X-C motif chemokine ligand 10 (CXCL10)	Chemokine (C-C motif) ligand 7 138183	Chemokine (C-C motif) ligand 24 138159	Chemokine (C-C motif) ligand 23 138161
CA	Ca 22984	Ca 22984	cat 32402
CAR10:0	10:0 30813	CAR(DC10:0) 165625	C10:0 30813
CAR16:0	CAR 16:5 228520	CAR 16:2 228644	C16:0 15756
CAR18:0	ACar 18:0 190618	18:0 28842	CAR(DC18:0) 165607
CAR18:1	ACar 18:1 176697	ACar 18:4 190547	ACar 18:3 190585
CAR18:2	ACar 18:2 176699	CAR 18:2;O 192099	CAR 18:2;O 192098
CAR6:0	CAR(26:0) 165602	6:0 30776	CAR 6:2 228449
CAR8:0	ACar 18:0 190618	CAR(DC8:0) 165630	8:0 28837
CARDC5:0	CAR(DC5:0) 165628	CAR(DC15:0) 165606	CAR(5:0) 165624
CCL5	CCL 3478	PCl5 30335	CCl4 27385
CO	Co 27638	Co 27638	CO 17245
CXCL10	CXCL10 138157	CXCL9 138154	CXCL7 138155
DHA	DHA 36005	DHA 28689	DHA 28125
DPP4	dp4 132213	DPP 60069	DPP 34680
DPP4 inhibitors	DPP-4 inhibitors 68612	pp42 inhibitors 79091	DPP-4 inhibitor 68612
Dipeptidyl peptidase 4 (DPP4)	dipeptidyl peptidase IV inhibitor 68612	dipeptidyl peptidase II inhibitor 76893	dipeptidyl peptidase-4 inhibitors 68612
F6P	SF6 30496	I6P 64838	b-Galf6P 154728
FAC19:1	FA 19:1 233757	FA(19:1) 233757	C19:0 39246
Fumarate	fumarate 29806	fumarate 24123	FUMARATE 29806
G6P	I6P 64838	G6A 90544	C6Ph 528967
GMP	GMP 58115	GMP 58115	GMP 17345
Gly-pro	Gly-Pro 70744	Gly-Pro-Pro 163975	Gly-Gly-Pro 155880
ICAM-1	BAM-15 233585	Amicar 16586	ICA 29202
IFNγ	IF 74075	FN 73633	LFN 73570
IL-12	ML-1229 135633	SL-1 60094	GL-1 207319
IL-12p40	ML-1229 135633	FL-120-C 212231	FL-120-B 221299
IL-15	SL-1 60094	GL-1 207319	G-15 156295
IL-1RA	SL-1 60094	GL-1 207319	Uracil-(2-13C) 177594
IL-1β	SL-1 60094	GL-1 207319	PGL-1 59104
IL-23	ML-236C 34828	ML-236C 34828	ML-236B 34848
IL-5	Xl-518 90851	SL-573 145506	IL 74072
IL-6	MAL-6 180675	XL-647 167674	IL 74072
IL-8	KIL-8951 91327	GPL-8 59374	XL-880 91418
Isocitrate	isocitrate 24885	Isocitral 171914	isocitrate(3-) 16087
Lys	Lys 29967	Lys 18019	Lys 133538
M-CSF	CSF 191852	L-CS 75592	M-T-C 137273
MIP-1δ	MIP-3 138161	Lip-1 173097	IP-10 138157
N-benzyloxycarbonyl-L-proline	N-benzyloxycarbonyl-L-prolyl-L-prolinal 46597	N-benzyloxycarbonyl-L-leucine 58558	N-benzyloxycarbonyl-L-leucine 28282
Oleate	oleate 30823	Oleate 16196	Oleat 30823
Pro	Pro 50342	Pro- 32865	Hpro 26271
R5P	R55 232979	15P 28659	XR586 207987
Shikimate	shikimate 36208	shikimate 36208	Shikimate 16119
Succinate	succinate 30031	succinate 26806	succinates 26806
TNF	tn 15725	Tn 40356	Tn 33491
TNF-α	TNF-a 197439	LNF-I 61357	TNFSF2 197440
TNFSF10	TNFSF2 197440	TNF-a 197439	PF1018 217933
Undecylenate	Zinc undecylenate 32313	Zinc undecylenate 32313	Butyl undecylenate 169713
acylcarnitines	Acylcarnitine 15414	C9-acylcarnitines 86493	C5-acylcarnitines 86492
adenosine deaminase	adenosine deaminase inhibitor 50445	adenosine deaminase inhibitors 50445	deoxyadenosine deaminase inhibitor 50445
