1,3-Dimethyluracil	1,3-dimethyluracil 74763	N1,N3-Dimethyluracil 74763	1,5-dimethyluracil 74765
2,4-Diaminobutyric acid	2,4-diaminobutyric acid 64307	2,4-DIAMINOBUTYRIC ACID 41834	L-2,4-diaminobutyric acid 48950
3,4-Dihydroxymandelic acid	3,4-dihydroxymandelic acid 27637	3,4-Dihydroxymandelic acid 27637	dihydroxymandelic acid 28926
3-Methylxanthine	3-methylxanthine 62208	3-methylxanthine 62208	3-methylxanthine 62205
5-Methoxytryptophol	5-Methoxytryptophol 89851	Methoxytryptophol 89851	5-methoxytryptophan 74049
6-(Methylamino) purine	6-(Dimethylamino)purine 60281	6-Methylaminopurine 28871	6-Methylaminopurinosine 21891
Androstenedione	androstenedione 22552	Androstenedione 16422	1-Androstenedione 133930
Aspartyl-lysine	L-aspartyl-L-lysine 73829	L-aspartyl-L-lysine 229953	Aspartylysine 173863
Butanone	butanone 28398	butanone 22951	butanones 22951
Canavanine	Canavanine 609827	L-canavanine 78902	L-canavanine 609827
Cortisol	cortisol 17650	cortisol 17650	Cortisol 17650
Coumarin	coumarin 28794	coumarins 23403	Coumarine 28794
Deoxycholic acid glycine conjugate	deoxycholic acid glycine conjugate 27471	Chenodeoxycholic acid glycine conjugate 190405	Lithocholic acid glycine conjugate 37998
Dihydrothymine	Dihydrothymine 27468	dihydrothymidine 132171	5,6-dihydrothymine 27468
Ethanolamine	ethanolamine 57603	ethanolamine 23981	ethanolamine 16000
Glycocholic acid	glycocholic acid 17687	Glycocholic acid 17687	GLYCOCHOLIC ACID 17687
Guanosine 5′-triphosphate	Guanosine 5'-triphosphate 15996	guanosine triphosphate 24457	guanosine triphosphate 15996
L-Dopa	L-dopa 57504	L-dopa 15765	L-dopa 15765
L-Kynurenine	L-kynurenine 57959	L-kynurenine 16946	L-Kynurenine 16946
L-histidine	L-histidine 57595	L-histidine 29979	L-histidine 15971
Neopterin	neopterine 28670	neopterin 28670	neopterins 25500
Nutriacholic acid	Nutriacholic acid 82679	nutriaglycocholic acid 138391	cholic acid 16359
Phosphocreatine	Phosphocreatine 17287	N-phosphocreatine 58092	N-phosphocreatine 17287
Pyridoxal	pyridoxal 17310	pyridoxal 17310	Pyridoxal 17310
