2′-O-methylation	2-O-Methylatromentin 198011	5-O-Methyllatifolin 178248	2-O-methylcytosine 70854
3-hydroxy-3-methylglutarate	3-hydroxy-3-methylglutarate 17325	3-Hydroxy-2-methylglutarate 169349	3-hydroxy-3-methylglutarate(2-) 17325
3-methyl-2-oxobutyrate	3-methyl-2-oxobutyrate 11851	2-methyl-3-oxobutyrate 19680	3-methyl-2-oxobutanoate 11851
3-ureidopropionate	3-ureidopropionate 11892	3-Ureidopropionate 18261	ureidopropionate 11892
4-methyl-2-oxopentanoate	4-methyl-2-oxopentanoate 17865	4-methyl-2-oxopentanoate 17865	4-methyl-2-oxopentanoate 17865
ClyO	ClY 53678	CLO 39178	ClOO 29414
CoOlitVeIsD	colitose 23360	Colitose 1416	Colomitide D 215381
Cytidine	cytidine 17562	cytidine 17562	cytidine 17562
Kynurenine	kynurenine 28683	Kynurenine 28683	KYNURENINE 16946
N1-methyladenosine	N-methyladenosine 21891	1-methyladenosine 16020	1-methyladenosine 16020
N4-acetylcytidine	N-acetylcytidine 70989	4-acetylcytidine 20305	N(4)-acetylcytidine 70989
N6-methyladenosine	N-methyladenosine 21891	6-Methyladenosine 21891	N(6)-methyladenosine 21891
Nn-cmovetehreydlaidnen	N-Methylephedrine 90046	N9-Methyladenine 40526	N6-Methyladenine 28871
Nucleotide	nucleotide 36976	Nucleotide 36976	nucleotides 36976
Phospholipid	phospholipid 16247	Phospholipid 16247	phospholipids 16247
Sphingolipids	sphingolipids 26739	sphingolipid 26739	sphingoids 35785
Tryptophan	tryptophan 57912	tryptophan 57719	tryptophan 27897
Uridine	uridine 16704	uridine 16704	uridine 16704
VsiIgD	VS 75021	Versimide 213789	Viocid 41688
aconitate	aconitane 35911	aconitane 35911	aconitate(3-) 22210
acute metabolites	plant metabolites 76924	crustacean metabolites 83039	plant metabolite 76924
amines	amines 32952	amine 32952	Amine 32952
amino acids	amino acids 33709	Amino acids 33704	amino acid 33709
bile acid	bile acid 3098	Bile acid 3098	Bile acid 22868
bile acids	bile acids 3098	bile acids 138366	bile acid 3098
carbohydrates	carbohydrates 16646	carbohydrate 16646	carbohydrate 16646
ceramides	ceramides 17761	ceramide 52639	ceramide 17761
cofactors and vitamins	cofactors 23357	cofactor 23357	cofactor 23357
cystathionine	cystathionine 17755	Cystathionine 17755	cystathionines 23505
cytidine	cytidine 17562	cytidine 17562	cytidine 17562
cytosine	cytosine 16040	cytosine 16040	Cytosine 16040
dehydroepiandrosteronesulfate	dehydroepiandrosterone sulfate 16814	Dehydroepiandrosterone sulfate 16814	dehydroepiandrosterone 3-sulfate 57905
energy	entereg 135686	ERG 162704	EER 144557
ethycyorvoaxriniaeb	ethylpyrazine 73232	Ethynylcarbinol 28905	ethyl chlorpromazine 125651
ethylmalonate	ethylmalonate 132938	Ethyl malonate 167785	ethylmalate 24005
fat-soluble vitamins A	fat-soluble vitamins 24020	fat-soluble vitamin 24020	fat-soluble vitamin (role) 24020
fat-soluble vitamins E	fat-soluble vitamins 24020	fat-soluble vitamin 24020	fat-soluble vitamin (role) 24020
formiminoglutamate	Formiminoglycine 18415	Formiminoglycine 18415	Formipinol 206988
free fatty acids	free fatty acid 8:2 132545	free fatty acid 22:6 132544	free fatty acid 22:5 132543
glucose metabolites	E.coli metabolites 76971	mouse metabolites 75771	Glucosol 67895
heme	heme 30413	heme 30413	heme 30413
histidine	histidine 27570	histidine 27570	Histidine 27570
homoarginine	homoarginine 24606	Homoarginine 27747	Homo-L-arginine 27747
