Input name	Standardized name	Formula	Exact mass	Super class	Main class	Sub class	Pubchem CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	 REFMET_ID
4-hydroxyphenylpyruvic acid	4-Hydroxyphenylpyruvic acid	C9H8O4	180.0423	Organic acids	Phenylpropanoids	Cinnamic acids	979	15999	HMDB0000707		C01179	KKADPXVIOXHVKN-UHFFFAOYSA-N	RM0020531
5-Dodecenoate	5-Dodecenoic acid	C12H22O2	198.1620	Fatty Acyls	Fatty acids	Unsaturated FA	5312378	86595	HMDB0000529	LMFA01030226		IJBFSOLHRKELLR-FPLPWBNLSA-N	RM0153633
AMP	AMP	C10H14N5O7P	347.0631	Nucleic acids	Purines	Purine rNMP	6083	16027	HMDB0000045		C00020	UDMBCSSLTHHNCD-KQYNXXCUSA-N	RM0138921
Butyrate	Butyric acid	C4H8O2	88.0524	Fatty Acyls	Fatty acids	Saturated FA	264	30772	HMDB0000039	LMFA01010004	C00246	FERIUCNNQQJTOY-UHFFFAOYSA-N	RM0153517
C-X-C motif chemokine ligand 10 (CXCL10)	-						-	-	-	-	-	-	-
CA	Cholic acid	C24H40O5	408.2876	Sterol Lipids	Bile acids	C24 Bile acids	221493	16359	HMDB0000619	LMST04010001	C00695	BHQCQFFYRZLCQQ-OELDTZBJSA-N	RM0135798
CAR10:0	CAR 10:0	C17H33NO4	315.2410	Fatty Acyls	Fatty esters	Acyl carnitines	11953821	28717	HMDB0000651	LMFA07070006	C03299	LZOSYCMHQXPBFU-OAHLLOKOSA-N	RM0153849
CAR16:0	CAR 16:0	C23H45NO4	399.3349	Fatty Acyls	Fatty esters	Acyl carnitines	11953816	17490	HMDB0000222	LMFA07070004	C02990	XOMRRQXKHMYMOC-OAQYLSRUSA-N	RM0153848
CAR18:0	CAR 18:0	C25H49NO4	427.3662	Fatty Acyls	Fatty esters	Acyl carnitines	52922056	84644	HMDB0000848	LMFA07070008		FNPHNLNTJNMAEE-HSZRJFAPSA-N	RM0153850
CAR18:1	CAR 18:1	C25H47NO4	425.3505	Fatty Acyls	Fatty esters	Acyl carnitines							RM0153915
CAR18:2	CAR 18:2	C25H45NO4	423.3349	Fatty Acyls	Fatty esters	Acyl carnitines							RM0154158
CAR6:0	CAR 6:0	C13H25NO4	259.1784	Fatty Acyls	Fatty esters	Acyl carnitines	3246938	84834	HMDB0000756	LMFA07070001		VVPRQWTYSNDTEA-LLVKDONJSA-N	RM0153846
CAR8:0	CAR 8:0	C15H29NO4	287.2097	Fatty Acyls	Fatty esters	Acyl carnitines	11953814	18102	HMDB0000791	LMFA07070002	C02838	CXTATJFJDMJMIY-CYBMUJFWSA-N	RM0154093
CARDC5:0	CAR DC5:0	C12H21NO6	275.1369	Fatty Acyls	Fatty esters	Acyl carnitines	71317118	165628	HMDB0013130	LMFA07070066		NXJAXUYOQLTISD-SECBINFHSA-N	RM0153962
CCL5	-						-	-	-	-	-	-	-
CO	-						-	-	-	-	-	-	-
