Input name	Standardized name	Formula	Exact mass	Super class	Main class	Sub class	Pubchem CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	 REFMET_ID
(E)-11-Octadecenoic acid	-						-	-	-	-	-	-	-
(E)-Oleic acid	Elaidic acid	C18H34O2	282.2559	Fatty Acyls	Fatty acids	Unsaturated FA	637517	27997	HMDB0000573	LMFA01030073	C01712	ZQPPMHVWECSIRJ-MDZDMXLPSA-N	RM0153285
(R*,S*)-3,8-Dioxa-2,9-disiladecane	-						-	-	-	-	-	-	-
1,4-Butanediol	-						-	-	-	-	-	-	-
1-stearoyl-rac-glycerol	MG 18:0	C21H42O4	358.3083	Glycerolipids	Monoradylglycerols	MAG							RM0075519
11-Octadecenoic acid	trans-Vaccenic acid	C18H34O2	282.2559	Fatty Acyls	Fatty acids	Unsaturated FA	5281127	28727	HMDB0003231	LMFA01030077	C08367	UWHZIFQPPBDJPM-BQYQJAHWSA-N	RM0152793
2,2,9,9-tetramethyl-5,6-bis[(trimethylsilyl)oxy]	-						-	-	-	-	-	-	-
2,3-butanediol	2,3-Butanediol	C4H10O2	90.0681	Organic oxygen compounds	Alcohols and polyols	1,2-diols	225936	16982	HMDB0033007		C03044	OWBTYPJTUOEWEK-QWWZWVQMSA-N	RM0118136
2-(methoxyimino)-3-methyl-.trimethylsilylester	-						-	-	-	-	-	-	-
2-Aminobutyric Acid	2-Aminobutyric acid	C4H9NO2	103.0633	Organic acids	Amino acids and peptides	Amino acids							RM0162502
2-Hydroxy-3-L-alanine	-						-	-	-	-	-	-	-
2-Hydroxy-3-glutarate	-						-	-	-	-	-	-	-
2-Hydroxy-3-methylbutyric acid	2-Hydroxy-3-methylbutyric acid	C5H10O3	118.0630	Fatty Acyls	Fatty acids	Hydroxy FA	853180	60631	HMDB0000407	LMFA01050390		NGEWQZIDQIYUNV-BYPYZUCNSA-N	RM0153673
2-Hydroxyisovaleric Acid	2-Hydroxy-3-methylbutyric acid	C5H10O3	118.0630	Fatty Acyls	Fatty acids	Hydroxy FA	853180	60631	HMDB0000407	LMFA01050390		NGEWQZIDQIYUNV-BYPYZUCNSA-N	RM0153673
2-hydroxybutyric acid	2-Hydroxybutyric acid	C4H8O3	104.0473	Fatty Acyls	Fatty acids	Hydroxy FA	11266	1148	HMDB0000008	LMFA01050004	C05984	AFENDNXGAFYKQO-UHFFFAOYSA-N	RM0153654
2-hydroxyisovaleric acid	2-Hydroxy-3-methylbutyric acid	C5H10O3	118.0630	Fatty Acyls	Fatty acids	Hydroxy FA	853180	60631	HMDB0000407	LMFA01050390		NGEWQZIDQIYUNV-BYPYZUCNSA-N	RM0153673
3-hydroxyproline	cis-3-Hydroxyproline	C5H9NO3	131.0582	Organic acids	Amino acids and peptides	Amino acids	11137200	88157	HMDB0002113		C01157	BJBUEDPLEOHJGE-IUYQGCFVSA-N	RM0131918
4-Hydroxy-D-proline	-						-	-	-	-	-	-	-
Alpha-Hydroxybutyric Acid	2-Hydroxybutyric acid	C4H8O3	104.0473	Fatty Acyls	Fatty acids	Hydroxy FA	11266	1148	HMDB0000008	LMFA01050004	C05984	AFENDNXGAFYKQO-UHFFFAOYSA-N	RM0153654
Alpha-ketoglutaric Acid	2-Oxoglutaric acid	C5H6O5	146.0215	Organic acids	TCA acids	TCA acids	51	30915	HMDB0000208		C00026	KPGXRSRHYNQIFN-UHFFFAOYSA-N	RM0135911
Amine	-						-	-	-	-	-	-	-
Amino Acid	-						-	-	-	-	-	-	-
Aminoacyl-tRNA	-						-	-	-	-	-	-	-
Arginine	Arginine	C6H14N4O2	174.1117	Organic acids	Amino acids and peptides	Amino acids	6322	16467	HMDB0000517		C00062	ODKSFYDXXFIFQN-BYPYZUCNSA-N	RM0135963
